Date,Value
"24 Jan, 2019",37
"25 Jan, 2019",35
"26 Jan, 2019",41
"27 Jan, 2019",39
"28 Jan, 2019",35
"29 Jan, 2019",21
"30 Jan, 2019",22
"31 Jan, 2019",17
"1 Feb, 2019",23
"2 Feb, 2019",22
"3 Feb, 2019",19
"4 Feb, 2019",27
"5 Feb, 2019",21
"6 Feb, 2019",14
"7 Feb, 2019",18
"8 Feb, 2019",37
"9 Feb, 2019",42
"10 Feb, 2019",40
"11 Feb, 2019",46
"12 Feb, 2019",38
"13 Feb, 2019",48
"14 Feb, 2019",48
"15 Feb, 2019",43
"16 Feb, 2019",43
"17 Feb, 2019",38
"18 Feb, 2019",63
"19 Feb, 2019",65
"20 Feb, 2019",59
"21 Feb, 2019",59
"22 Feb, 2019",61
"23 Feb, 2019",63
"24 Feb, 2019",69
"25 Feb, 2019",47
"26 Feb, 2019",40
"27 Feb, 2019",39
"28 Feb, 2019",39
"1 Mar, 2019",42
"2 Mar, 2019",41
"3 Mar, 2019",44
"4 Mar, 2019",36
"5 Mar, 2019",35
"6 Mar, 2019",42
"7 Mar, 2019",56
"8 Mar, 2019",54
"9 Mar, 2019",55
"10 Mar, 2019",55
"11 Mar, 2019",56
"12 Mar, 2019",56
"13 Mar, 2019",54
"14 Mar, 2019",55
"15 Mar, 2019",55
"16 Mar, 2019",54
"17 Mar, 2019",58
"18 Mar, 2019",56
"19 Mar, 2019",56
"20 Mar, 2019",55
"21 Mar, 2019",62
"22 Mar, 2019",56
"23 Mar, 2019",50
"24 Mar, 2019",44
"25 Mar, 2019",46
"26 Mar, 2019",43
"27 Mar, 2019",44
"28 Mar, 2019",49
"29 Mar, 2019",50
"30 Mar, 2019",57
"31 Mar, 2019",56
"1 Apr, 2019",62
"2 Apr, 2019",60
"3 Apr, 2019",71
"4 Apr, 2019",61
"5 Apr, 2019",59
"6 Apr, 2019",65
"7 Apr, 2019",69
"8 Apr, 2019",65
"9 Apr, 2019",64
"10 Apr, 2019",62
"11 Apr, 2019",65
"12 Apr, 2019",42
"13 Apr, 2019",62
"14 Apr, 2019",51
"15 Apr, 2019",60
"16 Apr, 2019",50
"17 Apr, 2019",61
"18 Apr, 2019",64
"19 Apr, 2019",61
"20 Apr, 2019",62
"21 Apr, 2019",62
"22 Apr, 2019",61
"23 Apr, 2019",68
"24 Apr, 2019",65
"25 Apr, 2019",58
"26 Apr, 2019",41
"27 Apr, 2019",42
"28 Apr, 2019",40
"29 Apr, 2019",42
"30 Apr, 2019",42
"1 May, 2019",51
"2 May, 2019",50
"3 May, 2019",63
"4 May, 2019",66
"5 May, 2019",67
"6 May, 2019",57
"7 May, 2019",69
"8 May, 2019",63
"9 May, 2019",69
"10 May, 2019",71
"11 May, 2019",76
"12 May, 2019",75
"13 May, 2019",78
"14 May, 2019",78
"15 May, 2019",77
"16 May, 2019",75
"17 May, 2019",65
"18 May, 2019",67
"19 May, 2019",70
"20 May, 2019",73
"21 May, 2019",68
"22 May, 2019",69
"23 May, 2019",65
"24 May, 2019",64
"25 May, 2019",69
"26 May, 2019",67
"27 May, 2019",70
"28 May, 2019",71
"29 May, 2019",71
"30 May, 2019",73
"31 May, 2019",61
"1 Jun, 2019",62
"2 Jun, 2019",63
"3 Jun, 2019",66
"4 Jun, 2019",42
"5 Jun, 2019",27
"6 Jun, 2019",34
"7 Jun, 2019",27
"8 Jun, 2019",62
"9 Jun, 2019",62
"10 Jun, 2019",46
"11 Jun, 2019",61
"12 Jun, 2019",60
"13 Jun, 2019",63
"14 Jun, 2019",67
"15 Jun, 2019",75
"16 Jun, 2019",80
"17 Jun, 2019",84
"18 Jun, 2019",83
"19 Jun, 2019",82
"20 Jun, 2019",81
"21 Jun, 2019",84
"22 Jun, 2019",83
"23 Jun, 2019",84
"24 Jun, 2019",80
"25 Jun, 2019",87
"26 Jun, 2019",95
"27 Jun, 2019",92
"28 Jun, 2019",62
"29 Jun, 2019",74
"30 Jun, 2019",78
"1 Jul, 2019",65
"2 Jul, 2019",63
"3 Jul, 2019",79
"4 Jul, 2019",76
"5 Jul, 2019",67
"6 Jul, 2019",72
"7 Jul, 2019",67
"8 Jul, 2019",74
"9 Jul, 2019",84
"10 Jul, 2019",83
"11 Jul, 2019",62
"12 Jul, 2019",33
"13 Jul, 2019",65
"14 Jul, 2019",61
"15 Jul, 2019",16
"16 Jul, 2019",34
"17 Jul, 2019",19
"18 Jul, 2019",40
"19 Jul, 2019",42
"20 Jul, 2019",34
"21 Jul, 2019",42
"22 Jul, 2019",42
"23 Jul, 2019",40
"24 Jul, 2019",20
"25 Jul, 2019",42
"26 Jul, 2019",24
"27 Jul, 2019",47
"28 Jul, 2019",16
"29 Jul, 2019",19
"30 Jul, 2019",22
"31 Jul, 2019",31
"1 Aug, 2019",57
"2 Aug, 2019",61
"3 Aug, 2019",61
"4 Aug, 2019",62
"5 Aug, 2019",64
"6 Aug, 2019",66
"7 Aug, 2019",45
"8 Aug, 2019",61
"9 Aug, 2019",60
"10 Aug, 2019",59
"11 Aug, 2019",45
"12 Aug, 2019",48
"13 Aug, 2019",45
"14 Aug, 2019",11
"15 Aug, 2019",13
"16 Aug, 2019",31
"17 Aug, 2019",20
"18 Aug, 2019",14
"19 Aug, 2019",30
"20 Aug, 2019",39
"21 Aug, 2019",11
"22 Aug, 2019",5
"23 Aug, 2019",33
"24 Aug, 2019",39
"25 Aug, 2019",33
"26 Aug, 2019",41
"27 Aug, 2019",30
"28 Aug, 2019",32
"29 Aug, 2019",20
"30 Aug, 2019",24
"31 Aug, 2019",20
"1 Sep, 2019",24
"2 Sep, 2019",28
"3 Sep, 2019",41
"4 Sep, 2019",43
"5 Sep, 2019",41
"6 Sep, 2019",43
"7 Sep, 2019",39
"8 Sep, 2019",43
"9 Sep, 2019",41
"10 Sep, 2019",41
"11 Sep, 2019",38
"12 Sep, 2019",39
"13 Sep, 2019",38
"14 Sep, 2019",39
"15 Sep, 2019",38
"16 Sep, 2019",38
"17 Sep, 2019",41
"18 Sep, 2019",38
"19 Sep, 2019",31
"20 Sep, 2019",41
"21 Sep, 2019",37
"22 Sep, 2019",37
"23 Sep, 2019",41
"24 Sep, 2019",39
"25 Sep, 2019",15
"26 Sep, 2019",12
"27 Sep, 2019",24
"28 Sep, 2019",32
"29 Sep, 2019",33
"30 Sep, 2019",27
"1 Oct, 2019",38
"2 Oct, 2019",39
"3 Oct, 2019",37
"4 Oct, 2019",30
"5 Oct, 2019",31
"6 Oct, 2019",32
