Date,Price,Fear_Greed
"22 Dec, 2018","3,964.4",28
"23 Dec, 2018","3,944.4",31
"24 Dec, 2018","4,026.1",25
"25 Dec, 2018","3,762.5",33
"26 Dec, 2018","3,793.7",26
"27 Dec, 2018","3,586.9",29
"28 Dec, 2018","3,861.6",21
"29 Dec, 2018","3,706.8",24
"30 Dec, 2018","3,815.0",23
"31 Dec, 2018","3,709.4",26
"1 Jan, 2019","3,809.4",24
"2 Jan, 2019","3,873.8",30
"3 Jan, 2019","3,780.1",33
"4 Jan, 2019","3,802.7",48
"5 Jan, 2019","3,785.4",36
"6 Jan, 2019","4,004.1",31
"7 Jan, 2019","3,985.9",39
"8 Jan, 2019","3,971.0",39
"9 Jan, 2019","3,978.0",42
"10 Jan, 2019","3,603.7",37
"11 Jan, 2019","3,616.5",19
"12 Jan, 2019","3,597.2",22
"13 Jan, 2019","3,490.2",21
"14 Jan, 2019","3,638.1",16
"15 Jan, 2019","3,571.3",27
"16 Jan, 2019","3,588.0",24
"17 Jan, 2019","3,626.4",28
"18 Jan, 2019","3,605.6",29
"19 Jan, 2019","3,677.8",31
"20 Jan, 2019","3,542.3",35
"21 Jan, 2019","3,536.7",30
"22 Jan, 2019","3,580.1",27
"23 Jan, 2019","3,561.5",33
"24 Jan, 2019","3,574.3",37
"25 Jan, 2019","3,572.0",35
"26 Jan, 2019","3,570.9",41
"27 Jan, 2019","3,555.6",39
"28 Jan, 2019","3,442.8",35
"29 Jan, 2019","3,414.8",21
"30 Jan, 2019","3,460.0",22
"31 Jan, 2019","3,437.2",17
"1 Feb, 2019","3,467.9",23
"2 Feb, 2019","3,502.5",22
"3 Feb, 2019","3,459.1",19
"4 Feb, 2019","3,462.8",27
"5 Feb, 2019","3,468.4",21
"6 Feb, 2019","3,404.3",14
"7 Feb, 2019","3,397.7",18
"8 Feb, 2019","3,661.7",37
"9 Feb, 2019","3,661.4",42
"10 Feb, 2019","3,679.0",40
"11 Feb, 2019","3,631.8",46
"12 Feb, 2019","3,632.0",38
"13 Feb, 2019","3,611.5",48
"14 Feb, 2019","3,592.6",48
"15 Feb, 2019","3,604.7",43
"16 Feb, 2019","3,616.8",43
"17 Feb, 2019","3,664.2",38
"18 Feb, 2019","3,896.0",63
"19 Feb, 2019","3,914.3",65
"20 Feb, 2019","3,972.4",59
"21 Feb, 2019","3,936.6",59
"22 Feb, 2019","3,965.2",61
"23 Feb, 2019","4,120.4",63
"24 Feb, 2019","3,755.2",69
"25 Feb, 2019","3,833.7",47
"26 Feb, 2019","3,810.3",40
"27 Feb, 2019","3,814.6",39
"28 Feb, 2019","3,816.6",39
"1 Mar, 2019","3,821.9",42
"2 Mar, 2019","3,823.1",41
"3 Mar, 2019","3,809.5",44
